Game,Outcome,Moves,FinalReward,AvgLoss,AvgQ
256,Win,40,3.040,0.1007,8.1223
257,Win,21,0.620,0.1099,8.0757
258,Loss/Draw,28,-0.625,0.1174,8.1444
259,Loss/Draw,15,-0.560,0.0895,8.2902
260,Win,9,2.790,0.0966,8.2024
261,Win,30,1.985,0.0999,8.2226
262,Win,21,1.630,0.1233,8.2564
263,Win,7,1.380,0.1279,8.1583
264,Win,27,3.605,0.1070,8.2433
265,Win,10,3.385,0.1138,8.3268
266,Win,12,0.570,0.1192,8.3189
267,Loss/Draw,5,-0.920,0.1455,8.2673
268,Win,40,2.030,0.0939,8.3713
269,Win,38,3.950,0.0898,8.4045
270,Win,15,2.455,0.0791,8.4217
271,Win,7,1.790,0.0731,8.4510
272,Win,35,1.560,0.1163,8.4221
273,Loss/Draw,16,-0.355,0.1118,8.4233
274,Win,22,0.215,0.0977,8.4488
275,Loss/Draw,5,-0.815,0.1560,8.4743
276,Loss/Draw,26,-0.405,0.1061,8.4523
277,Win,14,3.460,0.0950,8.5649
278,Win,9,2.685,0.0913,8.4602
279,Win,35,4.175,0.0933,8.5427
280,Win,26,1.100,0.1036,8.5744
281,Win,21,1.930,0.1188,8.5179
282,Win,16,2.555,0.0895,8.5362
283,Win,40,1.430,0.0852,8.6008
284,Win,26,3.315,0.1085,8.5861
285,Win,26,1.710,0.1271,8.5710
286,Win,12,0.465,0.0932,8.5580
287,Win,29,0.495,0.1073,8.7025
288,Win,40,2.535,0.0922,8.7293
289,Win,9,1.170,0.1108,8.6979
290,Win,30,1.680,0.1106,8.7176
291,Win,29,3.300,0.1116,8.7282
292,Win,38,2.750,0.0989,8.7598
293,Win,8,0.380,0.1480,8.7853
294,Win,11,1.280,0.1035,8.7605
295,Win,40,2.240,0.1061,8.7858
296,Win,10,2.785,0.1105,8.8628
297,Win,17,0.650,0.1300,8.7858
298,Win,15,2.760,0.1126,8.7621
299,Win,40,1.735,0.1038,8.7931
300,Win,40,3.040,0.1048,8.8161
301,Win,21,0.525,0.0846,8.8237
302,Win,29,0.485,0.0874,8.8637
303,Win,23,0.410,0.1074,8.9131
304,Win,35,2.460,0.1171,8.8899
305,Win,12,0.360,0.1256,8.9559
306,Win,15,2.350,0.0618,8.9607
307,Win,31,1.580,0.0749,8.9339
308,Win,40,3.145,0.1040,8.8785
309,Win,21,0.725,0.0953,8.8882
310,Win,23,3.030,0.0893,8.8818
311,Win,38,1.145,0.0983,8.9558
312,Win,30,1.690,0.0793,8.9716
313,Win,22,2.325,0.0931,8.9708
314,Win,24,1.320,0.0900,8.9132
315,Win,17,1.040,0.0931,8.9801
316,Win,40,3.945,0.1094,8.9752
317,Win,40,2.535,0.0987,8.9588
318,Loss/Draw,21,-0.275,0.0962,8.9526
319,Loss/Draw,18,-0.375,0.0903,8.9005
320,Win,21,2.530,0.0787,8.9888
321,Win,40,2.935,0.0916,8.9703
322,Win,13,2.465,0.0943,9.0116
323,Win,24,1.815,0.0887,8.9657
324,Win,12,2.365,0.0831,9.0019
325,Win,15,1.250,0.1035,8.9978
326,Win,40,3.145,0.0688,9.0056
327,Loss/Draw,20,-0.175,0.0888,9.0560
328,Win,34,1.565,0.0881,8.9981
329,Win,39,1.245,0.0813,8.9602
330,Win,36,2.555,0.0650,9.0685
331,Loss/Draw,5,-0.615,0.0545,8.9273
332,Win,18,0.635,0.0859,9.1000
333,Loss/Draw,14,-0.145,0.1084,8.9880
334,Win,26,2.000,0.0768,9.0689
335,Win,40,2.845,0.0978,8.9929
336,Win,40,2.135,0.1018,9.0234
337,Win,10,1.880,0.1101,8.9356
338,Loss/Draw,14,-0.860,0.1062,9.0049
339,Loss/Draw,18,-0.165,0.0888,9.1229
340,Win,24,0.605,0.1049,9.0715
341,Loss/Draw,9,-0.035,0.0705,9.0421
342,Win,26,3.505,0.0797,9.0735
343,Win,33,0.760,0.0875,9.1051
344,Win,37,1.945,0.0833,9.0680
345,Win,22,3.620,0.0764,9.0762
346,Win,40,1.335,0.0832,9.0559
347,Win,29,3.195,0.0815,9.0721
348,Win,24,2.210,0.0904,9.0576
349,Win,17,2.645,0.0768,9.0890
350,Win,12,1.975,0.1032,9.0213
351,Win,20,4.040,0.0766,9.0039
352,Win,13,1.355,0.0780,9.0035
353,Win,23,0.715,0.0802,9.0470
354,Win,10,1.570,0.0630,9.1355
355,Win,8,2.690,0.1369,8.9783
356,Win,37,2.655,0.0805,9.0670
357,Win,15,2.060,0.0881,9.0950
358,Win,15,0.955,0.0840,9.0452
359,Win,15,2.350,0.0856,9.0815
360,Win,40,1.830,0.0857,9.0429
361,Win,40,2.040,0.0850,9.0717
362,Win,40,2.240,0.0770,9.0787
363,Win,17,0.240,0.0611,9.0323
364,Win,20,0.635,0.0868,8.9936
365,Win,15,0.850,0.0630,9.0692
366,Win,38,1.650,0.0750,9.1184
367,Win,40,2.345,0.0713,9.1055
368,Win,35,3.565,0.0891,9.0999
369,Win,25,0.505,0.0823,9.0993
370,Win,13,3.970,0.0547,9.2100
371,Loss/Draw,14,-0.250,0.0722,8.9787
372,Win,40,2.135,0.0634,9.1428
373,Win,19,3.245,0.0731,9.1571
374,Win,26,0.405,0.0489,9.1313
375,Win,40,1.735,0.0672,9.1252
376,Win,29,2.095,0.0788,9.0183
377,Win,18,1.635,0.0705,9.0839
378,Win,16,0.445,0.0749,9.0482
379,Win,21,1.420,0.0685,9.1258
380,Win,29,1.685,0.0700,9.1189
381,Win,40,3.040,0.0739,9.1009
382,Win,40,2.640,0.0719,9.0717
383,Loss/Draw,12,-0.545,0.0704,9.1117
384,Loss/Draw,12,-0.145,0.0729,9.0188
385,Win,40,2.030,0.0709,9.0526
386,Win,33,1.675,0.0750,9.1161
387,Win,33,1.170,0.0772,9.1311
388,Win,28,0.395,0.0729,9.0352
389,Win,31,2.085,0.0762,9.1217
390,Win,21,4.140,0.0772,9.1203
391,Win,23,2.825,0.0601,9.1196
392,Win,34,2.465,0.0640,9.0823
393,Win,28,3.800,0.0817,9.1179
394,Win,36,4.065,0.0750,9.1024
395,Win,13,0.765,0.0789,9.0241
396,Win,17,0.830,0.0701,9.0749
397,Win,40,2.030,0.0736,9.1170
398,Win,18,1.535,0.1122,9.0129
399,Win,9,0.270,0.0809,9.1547
400,Win,25,0.695,0.0598,9.1014
401,Loss/Draw,9,-0.635,0.1013,8.9679
402,Win,37,1.950,0.0718,9.1224
403,Win,25,0.105,0.0617,9.1031
404,Win,40,1.430,0.0723,9.1323
405,Win,21,2.435,0.0680,9.0843
406,Loss/Draw,25,-0.305,0.0558,9.1739
407,Loss/Draw,8,-0.525,0.0569,9.1403
408,Win,13,0.355,0.0504,9.1180
409,Win,33,2.875,0.0632,9.1493
410,Win,6,0.380,0.0708,9.2223
411,Win,40,1.535,0.0668,9.1246
412,Win,31,0.370,0.0800,9.1244
413,Win,40,2.240,0.0739,9.1598
414,Loss/Draw,19,-0.065,0.0633,9.1718
415,Win,40,3.040,0.0589,9.1177
416,Win,11,0.660,0.0585,9.1192
417,Win,40,1.735,0.0623,9.1075
418,Win,21,2.835,0.0776,9.0943
419,Win,40,2.030,0.0549,9.1710
420,Win,10,0.475,0.0704,9.0406
421,Win,25,1.395,0.0717,9.1224
422,Win,10,0.770,0.0556,9.2169
423,Loss/Draw,20,-0.080,0.0522,9.2147
424,Win,21,0.925,0.0698,9.1124
425,Win,40,3.945,0.0554,9.1621
426,Win,15,0.850,0.0470,9.1541
427,Win,18,1.035,0.0517,9.1629
428,Loss/Draw,5,-0.510,0.0760,9.1050
429,Win,40,1.335,0.0706,9.1131
430,Win,40,1.735,0.0704,9.1410
431,Win,23,1.805,0.0506,9.1830
432,Win,21,0.830,0.0547,9.2019
433,Win,14,0.445,0.0588,9.1137
434,Loss/Draw,16,-0.565,0.0504,9.0974
435,Win,19,3.245,0.0570,9.1422
436,Win,34,1.165,0.0727,9.0978
437,Win,22,0.205,0.0658,9.1002
438,Win,22,0.720,0.0717,9.1804
439,Win,38,2.050,0.0719,9.1313
440,Loss/Draw,9,-0.635,0.0944,9.0173
441,Win,21,2.730,0.0564,9.0922
442,Win,29,1.980,0.0738,9.1216
443,Win,22,2.925,0.0876,9.1408
444,Win,13,2.970,0.0460,9.1239
445,Win,29,1.780,0.0731,9.0846
446,Win,23,1.620,0.0529,9.1205
447,Win,20,0.625,0.0557,9.1711
448,Win,11,0.470,0.0668,9.1132
449,Win,40,2.830,0.0716,9.1576
450,Win,40,2.345,0.0649,9.1213
451,Win,16,0.540,0.0699,9.0625
452,Win,33,1.460,0.0626,9.1461
453,Win,33,3.280,0.0749,9.0990
454,Win,19,1.935,0.0752,9.1204
455,Loss/Draw,19,-0.065,0.0416,9.1783
456,Win,37,3.050,0.0520,9.1449
457,Win,26,2.200,0.0841,9.1443
458,Loss/Draw,22,-0.185,0.0671,9.1072
459,Win,22,0.720,0.0575,9.1432
460,Win,40,2.735,0.0627,9.1102
461,Win,35,2.860,0.0892,9.0894
462,Loss/Draw,21,-0.075,0.0652,9.0506
463,Win,16,2.755,0.0586,9.2045
464,Win,15,0.555,0.0633,9.0958
465,Win,30,4.895,0.0709,9.0851
466,Win,19,1.040,0.0545,9.1270
467,Win,40,4.745,0.0640,9.1710
468,Win,15,0.650,0.0623,9.2056
469,Win,38,0.450,0.0580,9.1714
470,Win,21,2.415,0.0588,9.1494
471,Win,13,0.965,0.0976,9.0862
472,Win,40,2.935,0.0750,9.1123
473,Win,17,1.145,0.0496,9.0893
474,Loss/Draw,3,-0.605,0.0346,9.1584
475,Win,34,3.465,0.0900,9.0758
476,Win,14,1.955,0.0827,9.1500
477,Win,30,1.985,0.0669,9.0764
478,Win,15,1.750,0.0589,9.1520
479,Win,28,1.090,0.0640,9.1295
480,Win,37,0.340,0.0667,9.1658
481,Win,13,2.865,0.0860,9.2189
482,Win,19,1.240,0.0805,9.1572
483,Win,4,0.390,0.0729,9.0781
484,Win,40,3.840,0.0546,9.1894
485,Win,22,0.520,0.0623,9.0847
486,Win,9,1.970,0.0642,9.2241
487,Win,12,0.865,0.0622,9.2008
488,Win,30,0.785,0.0487,9.1848
489,Win,31,2.880,0.0863,9.1340
490,Win,8,2.280,0.0578,9.1520
491,Win,16,1.550,0.0491,9.1542
492,Loss/Draw,13,-0.140,0.0774,9.0716
493,Win,40,1.440,0.0659,9.1271
494,Win,40,1.325,0.0793,9.1297
495,Win,31,1.285,0.0703,9.2136
496,Win,40,2.240,0.0675,9.1452
497,Win,7,0.680,0.0696,9.0735
498,Win,15,0.945,0.0663,9.1326
499,Win,40,2.240,0.0786,9.1377
500,Win,36,1.060,0.0628,9.1377
501,Win,24,0.415,0.0692,9.1680
502,Win,14,1.865,0.0487,9.1570
503,Win,27,0.505,0.0662,9.1949
504,Win,22,0.310,0.0653,9.1872
505,Win,29,2.890,0.0591,9.1533
506,Win,18,0.330,0.0636,9.1783
507,Win,19,3.435,0.0444,9.1326
508,Loss/Draw,17,-0.465,0.0657,9.1774
509,Win,40,3.840,0.0632,9.1485
510,Win,14,0.160,0.0499,9.1009
511,Win,25,0.505,0.0652,9.1009
512,Win,19,1.940,0.0648,9.1908
513,Win,18,1.035,0.0754,9.1633
514,Win,21,0.525,0.0748,9.1758
515,Win,40,1.335,0.0763,9.1348
516,Win,33,4.470,0.0749,9.1565
517,Win,23,0.715,0.0612,9.1759
518,Loss/Draw,10,-0.535,0.0776,9.1371
519,Win,10,0.265,0.0655,9.0331
520,Win,14,0.455,0.0543,9.1347
521,Win,10,2.385,0.0643,9.1831
522,Win,26,0.805,0.0395,9.1962
523,Win,40,3.145,0.0624,9.1681
524,Win,15,1.145,0.0509,9.1197
525,Win,35,1.265,0.0631,9.1236
526,Win,19,0.840,0.0596,9.1198
527,Win,12,2.775,0.1035,9.0860
528,Win,37,2.050,0.0581,9.2180
529,Win,11,0.060,0.0550,9.1644
530,Win,36,0.650,0.0647,9.1947
531,Win,40,1.840,0.0522,9.1949
532,Win,15,0.345,0.0495,9.2159
533,Win,40,3.145,0.0712,9.1553
534,Win,40,2.240,0.0843,9.1116
535,Win,11,0.670,0.0615,9.0983
536,Win,40,2.240,0.0618,9.1662
537,Win,40,1.735,0.0592,9.1891
538,Win,40,2.630,0.0486,9.1204
539,Win,29,1.590,0.0749,9.1505
540,Win,40,2.535,0.0549,9.2154
541,Win,40,2.240,0.0460,9.2293
542,Win,40,2.240,0.0568,9.1223
543,Win,15,0.345,0.0944,9.1249
544,Loss/Draw,20,-0.070,0.0634,9.1893
545,Win,19,2.845,0.0638,9.2244
546,Win,23,3.320,0.0542,9.1530
547,Win,34,4.370,0.0666,9.1050
548,Win,16,2.240,0.0690,9.0855
549,Win,10,2.470,0.0686,9.1507
550,Win,30,2.685,0.0633,9.1032
551,Loss/Draw,12,-0.135,0.0602,9.1922
552,Loss/Draw,25,-0.400,0.0697,9.1787
553,Win,29,0.790,0.0527,9.2238
554,Win,21,2.030,0.0685,9.2272
555,Win,16,2.450,0.0562,9.1484
556,Win,22,1.015,0.0575,9.2113
557,Win,40,1.840,0.0572,9.1822
558,Win,25,2.010,0.0532,9.1461
559,Win,34,0.555,0.0523,9.1300
560,Win,27,2.000,0.0516,9.1908
561,Win,12,1.275,0.0725,9.1504
562,Loss/Draw,20,-0.690,0.0762,9.0819
563,Win,21,1.230,0.0446,9.1063
564,Win,26,3.610,0.0665,9.1197
565,Win,15,0.545,0.0664,9.1631
566,Win,11,0.470,0.0640,9.0977
567,Win,23,0.610,0.0628,9.1270
568,Win,14,2.860,0.0584,9.1443
569,Win,13,0.250,0.0435,9.2201
570,Loss/Draw,37,-0.155,0.0587,9.1527
571,Win,20,1.730,0.0454,9.1523
572,Win,40,2.030,0.0718,9.1778
573,Win,28,0.395,0.0559,9.1026
574,Win,40,1.440,0.0537,9.1479
575,Win,7,0.280,0.0490,9.1609
576,Win,40,2.345,0.0559,9.1624
577,Win,40,2.345,0.0546,9.1353
578,Loss/Draw,24,-0.300,0.0667,9.1706
579,Win,22,0.205,0.0638,9.1402
580,Win,40,2.240,0.0649,9.1275
581,Win,40,1.440,0.0513,9.1398
582,Win,8,1.680,0.0270,9.2409
583,Win,40,1.230,0.0426,9.1769
584,Win,35,3.565,0.0515,9.1665
585,Win,40,2.735,0.0531,9.1520
586,Win,40,2.240,0.0538,9.1125
587,Win,40,2.240,0.0561,9.2292
588,Win,40,1.430,0.0486,9.1608
589,Win,20,0.425,0.0509,9.1761
590,Win,31,2.985,0.0410,9.1850
591,Win,26,0.595,0.0510,9.1452
592,Win,22,1.225,0.0401,9.1947
593,Loss/Draw,12,-0.440,0.0560,9.1258
594,Win,37,0.340,0.0550,9.2473
595,Win,29,1.685,0.0660,9.1725
596,Win,26,0.910,0.0504,9.1281
597,Win,40,1.840,0.0554,9.1812
598,Win,16,0.855,0.0478,9.1536
599,Win,22,1.720,0.0424,9.1700
600,Win,16,1.340,0.0509,9.1530
601,Win,11,0.565,0.0772,9.2047
602,Win,40,2.935,0.0528,9.1230
603,Win,19,2.835,0.0616,9.2196
604,Win,40,2.240,0.0494,9.1612
605,Win,25,1.210,0.0411,9.1538
606,Win,40,1.335,0.0531,9.1730
607,Win,20,2.935,0.0569,9.1654
608,Win,16,1.150,0.0534,9.1338
609,Win,33,0.255,0.0530,9.1322
610,Win,40,1.630,0.0607,9.1181
611,Win,23,0.020,0.0613,9.2195
612,Win,40,3.145,0.0532,9.1452
613,Win,25,2.910,0.0384,9.1829
614,Win,40,2.240,0.0451,9.1445
615,Win,35,3.460,0.0446,9.1881
616,Win,14,3.355,0.0616,9.0966
617,Win,18,0.330,0.0506,9.1935
618,Win,27,0.695,0.0398,9.2148
619,Win,22,0.320,0.0558,9.0943
620,Win,40,3.040,0.0440,9.1811
621,Win,15,0.545,0.0377,9.1819
622,Win,23,0.210,0.0437,9.1511
623,Win,23,1.710,0.0499,9.2520
624,Loss/Draw,16,-0.260,0.0412,9.2399
625,Win,21,0.715,0.0548,9.1737
626,Win,40,1.735,0.0553,9.1954
627,Win,6,0.485,0.0563,9.0375
628,Win,17,2.750,0.0623,9.2099
629,Win,14,0.655,0.0566,9.0544
630,Win,40,2.640,0.0531,9.1662
631,Win,34,0.260,0.0564,9.1767
632,Win,40,1.735,0.0526,9.1643
